letter,title,description,link
X,Contra Costa Measure X,A half-cent sales tax increase that would run for 30 years and would be used for transportation improvements.,
B,Santa Clara Measure B,A half-cent sales tax projected to raise more than $6 billion over the next 30 years for public transit.,
T1,Berkeley Measure T1,A $100 million general obligation bond for Berkeley's infrastructure.,
O1,Albany Measure O1,A penny an ounce tax on sugary drinks.,
HH,Oakland Measure HH,A penny an ounce tax on sugary drinks.,
